"Date","first_purchase_os_name","totalOS"
"2020-07-09","Mac OS X",3439
"2020-08-31","Windows 10",3439
"2018-09-18","Windows 10",3436
"2020-12-17","Windows 10",3432
"2020-08-10","Windows 10",3430
"2018-07-11","Mac OS X",3428
"2021-11-03","Mac OS X",3425
"2017-11-01","Windows 10",3422
"2018-08-07","Windows 10",3420
"2020-10-26","Windows 10",3418
"2021-02-26","Windows 10",3416
"2020-07-31","Windows 10",3415
"2021-10-13","Mac OS X",3412
"2017-04-18","Mac OS X",3412
"2019-05-08","Mac OS X",3408
"2014-12-01","Windows 7",3407
"2017-04-18","Windows 10",3406
"2021-11-17","Mac OS X",3406
"2020-03-26","Mac OS X",3404
"2018-06-19","Mac OS X",3404
"2019-12-30","Mac OS X",3401
"2021-10-20","Mac OS X",3396
"2019-06-26","Mac OS X",3394
"2021-09-15","Mac OS X",3394
"2021-10-06","Mac OS X",3394
"2021-04-05","Windows 10",3394
"2021-05-25","Mac OS X",3389
"2018-10-02","Mac OS X",3388
"2021-10-01","Windows 10",3386
"2020-11-09","Windows 10",3382
"2020-12-31","Windows 10",3379
"2020-08-07","Windows 10",3379
"2021-12-16","Windows 10",3378
"2021-09-08","Mac OS X",3377
"2021-07-14","Mac OS X",3373
"2020-04-27","Mac OS X",3372
"2021-07-28","Mac OS X",3371
"2015-09-03","Mac OS X",3371
"2021-03-12","Windows 10",3370
"2020-03-02","Windows 10",3369
"2021-01-29","Windows 10",3368
"2017-11-28","Mac OS X",3367
"2018-06-05","Mac OS X",3367
"2020-02-05","Windows 10",3360
"2021-06-08","Mac OS X",3358
"2018-09-18","Mac OS X",3343
"2021-09-22","Mac OS X",3339
"2021-01-14","Mac OS X",3338
"2021-09-13","Windows 10",3337
"2018-10-30","Mac OS X",3333
"2020-03-03","Windows 10",3329
"2021-02-04","Mac OS X",3327
"2013-12-02","Windows 7",3326
"2017-11-01","Mac OS X",3325
"2020-02-14","Windows 10",3325
"2021-02-12","Windows 10",3324
"2018-05-22","Mac OS X",3323
"2021-11-30","Mac OS X",3323
"2020-02-04","Windows 10",3322
"2020-10-05","Windows 10",3320
"2019-01-31","Windows 10",3318
"2021-01-22","Windows 10",3318
